feature,importance_mean,importance_std
a4_score,0.011666666666666678,0.004192071312805089
a5_score,0.011155303030303052,0.003512887446810355
a9_score,0.009848484848484848,0.0025262624243232073
a1_score,0.009318181818181828,0.0029193710406057224
a2_score,0.007821969696969725,0.001852094556715634
a6_score,0.007651515151515177,0.003512734278596849
a3_score,0.007518939393939393,0.002438037807684438
a7_score,0.0062500000000000056,0.0024257216131189975
a10_score,0.004393939393939404,0.001668387541329201
a8_score,0.004261363636363628,0.0018232056539922506
age,0.0,0.0
gender,0.0,0.0
ethnicity,0.0,0.0
jaundice,0.0,0.0
family_asd,0.0,0.0
country_of_residence,0.0,0.0
used_app_before,0.0,0.0
relation,0.0,0.0
